ts,sm_mhz,util,power_w,temp_c
2026/07/30 10:33:23.149, 2610, 7, 63.11, 45
2026/07/30 10:33:28.182, 2610, 1, 60.09, 45
2026/07/30 10:33:33.218, 2730, 49, 146.71, 51
2026/07/30 10:33:38.258, 2730, 0, 64.37, 45
2026/07/30 10:33:43.294, 2610, 0, 55.83, 44
2026/07/30 10:33:48.326, 2610, 0, 55.77, 43
2026/07/30 10:33:53.358, 2610, 0, 55.76, 43
2026/07/30 10:33:58.409, 2730, 34, 94.97, 46
2026/07/30 10:34:03.442, 2610, 0, 55.71, 43
2026/07/30 10:34:08.478, 2610, 0, 55.70, 42
2026/07/30 10:34:13.514, 2610, 0, 55.47, 42
2026/07/30 10:34:18.569, 2730, 20, 131.34, 46
2026/07/30 10:34:23.606, 2730, 32, 101.59, 45
2026/07/30 10:34:28.681, 2730, 14, 80.12, 43
2026/07/30 10:34:33.714, 2610, 0, 58.80, 42
2026/07/30 10:34:38.769, 2730, 51, 105.70, 45
2026/07/30 10:34:43.821, 2730, 30, 80.86, 43
2026/07/30 10:34:48.854, 2730, 53, 141.76, 46
2026/07/30 10:34:53.909, 2730, 34, 118.51, 44
2026/07/30 10:34:58.981, 2730, 6, 103.49, 44
2026/07/30 10:35:04.053, 2730, 6, 125.45, 44
2026/07/30 10:35:09.125, 2730, 30, 82.35, 44
2026/07/30 10:35:14.158, 2730, 11, 78.95, 43
2026/07/30 10:35:19.213, 2730, 58, 85.54, 44
2026/07/30 10:35:24.246, 2730, 55, 79.75, 43
2026/07/30 10:35:29.297, 2730, 52, 78.49, 43
2026/07/30 10:35:34.330, 2730, 13, 94.88, 43
2026/07/30 10:35:39.370, 2730, 30, 77.87, 43
2026/07/30 10:35:44.402, 2730, 3, 84.02, 42
2026/07/30 10:35:49.477, 2730, 66, 152.31, 47
2026/07/30 10:35:54.529, 2730, 48, 118.07, 45
2026/07/30 10:35:59.562, 2730, 53, 132.04, 46
2026/07/30 10:36:04.579, 2610, 2, 64.84, 42
